            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448198.500000000, A.D. 1990-Nov-03 00:00:00.0000, -1.030616719547388E+07,  2.336800747006132E+07,  3.228012060058183E+06,
2448199.500000000, A.D. 1990-Nov-04 00:00:00.0000, -1.062231318037226E+07,  2.419320957301400E+07,  3.338052800338721E+06,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000, -1.092987172358529E+07,  2.501750820800433E+07,  3.447258068005832E+06,
2448201.500000000, A.D. 1990-Nov-06 00:00:00.0000, -1.122843939357201E+07,  2.584125877479279E+07,  3.555599290728193E+06,
2448202.500000000, A.D. 1990-Nov-07 00:00:00.0000, -1.151757293466543E+07,  2.666488485885184E+07,  3.663068872665772E+06,
2448203.500000000, A.D. 1990-Nov-08 00:00:00.0000, -1.179684947770198E+07,  2.748885593028223E+07,  3.769661188900977E+06,
2448204.500000000, A.D. 1990-Nov-09 00:00:00.0000, -1.206587360092431E+07,  2.831368256308103E+07,  3.875371971123990E+06,
2448205.500000000, A.D. 1990-Nov-10 00:00:00.0000, -1.232428197186241E+07,  2.913991033690976E+07,  3.980197787027994E+06,
2448206.500000000, A.D. 1990-Nov-11 00:00:00.0000, -1.257174621243208E+07,  2.996811452616296E+07,  4.084135786091523E+06,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000, -1.280797369749969E+07,  3.079889402291519E+07,  4.187183377348470E+06,
2448208.500000000, A.D. 1990-Nov-13 00:00:00.0000, -1.303270787812710E+07,  3.163286698219648E+07,  4.289338136633191E+06,
2448209.500000000, A.D. 1990-Nov-14 00:00:00.0000, -1.324575228319464E+07,  3.247066153479608E+07,  4.390565956434511E+06,
2448210.500000000, A.D. 1990-Nov-15 00:00:00.0000, -1.344687563150786E+07,  3.331293548494394E+07,  4.490926639815534E+06,
2448211.500000000, A.D. 1990-Nov-16 00:00:00.0000, -1.363594888885726E+07,  3.416033634879981E+07,  4.590387716113755E+06,
2448212.500000000, A.D. 1990-Nov-17 00:00:00.0000, -1.381285563088409E+07,  3.501352449931077E+07,  4.688946987646414E+06,
2448213.500000000, A.D. 1990-Nov-18 00:00:00.0000, -1.397751254324024E+07,  3.587316378259981E+07,  4.786602302148163E+06,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000, -1.412986833230907E+07,  3.673991918994200E+07,  4.883351580036882E+06,
2448215.500000000, A.D. 1990-Nov-20 00:00:00.0000, -1.426990252312357E+07,  3.761445478954038E+07,  4.979192854767742E+06,
2448216.500000000, A.D. 1990-Nov-21 00:00:00.0000, -1.439762402845504E+07,  3.849743145308957E+07,  5.074124258674918E+06,
2448217.500000000, A.D. 1990-Nov-22 00:00:00.0000, -1.451306981687018E+07,  3.938950504707979E+07,  5.168144049963141E+06,
2448218.500000000, A.D. 1990-Nov-23 00:00:00.0000, -1.461630489132915E+07,  4.029132810704672E+07,  5.261251110771118E+06,
2448219.500000000, A.D. 1990-Nov-24 00:00:00.0000, -1.470741937209494E+07,  4.120354423701634E+07,  5.353444422860326E+06,
2448220.500000000, A.D. 1990-Nov-25 00:00:00.0000, -1.478652758764982E+07,  4.212678810083780E+07,  5.444723336141340E+06,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000, -1.485376622298793E+07,  4.306168390905030E+07,  5.535087647860158E+06,
2448222.500000000, A.D. 1990-Nov-27 00:00:00.0000, -1.490929174859852E+07,  4.400884365167277E+07,  5.624537667645864E+06,
2448223.500000000, A.D. 1990-Nov-28 00:00:00.0000, -1.495327722313588E+07,  4.496886602484161E+07,  5.713074379783986E+06,
2448224.500000000, A.D. 1990-Nov-29 00:00:00.0000, -1.498590985223052E+07,  4.594234000159067E+07,  5.800700201291561E+06,
2448225.500000000, A.D. 1990-Nov-30 00:00:00.0000, -1.500738539991859E+07,  4.692984252209634E+07,  5.887418770740047E+06,
2448226.500000000, A.D. 1990-Dec-01 00:00:00.0000, -1.501790555871912E+07,  4.793194399644326E+07,  5.973235572022358E+06,
2448227.500000000, A.D. 1990-Dec-02 00:00:00.0000, -1.501767600878408E+07,  4.894921213349078E+07,  6.058157984479479E+06,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000, -1.500691873466992E+07,  4.998222312338522E+07,  6.142185387082208E+06,
2448229.500000000, A.D. 1990-Dec-04 00:00:00.0000, -1.498584337741583E+07,  5.103156482017906E+07,  6.225352233172137E+06,
2448230.500000000, A.D. 1990-Dec-05 00:00:00.0000, -1.495470284363345E+07,  5.209783449673462E+07,  6.307660259712726E+06,
2448231.500000000, A.D. 1990-Dec-06 00:00:00.0000, -1.491376968594040E+07,  5.318164034181340E+07,  6.389123594065629E+06,
2448232.500000000, A.D. 1990-Dec-07 00:00:00.0000, -1.486334915949381E+07,  5.428359517036369E+07,  6.469756364467684E+06,
2448233.500000000, A.D. 1990-Dec-08 00:00:00.0000, -1.480378137868519E+07,  5.540430878175939E+07,  6.549572024944708E+06,
2448234.500000000, A.D. 1990-Dec-09 00:00:00.0000, -1.473544254438221E+07,  5.654438641779739E+07,  6.628583603313610E+06,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000, -1.465874168471369E+07,  5.770441892199837E+07,  6.706802968900848E+06,
2448236.500000000, A.D. 1990-Dec-11 00:00:00.0000, -1.457411862609659E+07,  5.888498094769752E+07,  6.784241033059053E+06,
2448237.500000000, A.D. 1990-Dec-12 00:00:00.0000, -1.448204135471003E+07,  6.008662848927790E+07,  6.860907785861414E+06,
2448238.500000000, A.D. 1990-Dec-13 00:00:00.0000, -1.438300348061936E+07,  6.130989667903545E+07,  6.936812292191427E+06,
2448239.500000000, A.D. 1990-Dec-14 00:00:00.0000, -1.427752266069916E+07,  6.255530060248173E+07,  7.011962990688171E+06,
2448240.500000000, A.D. 1990-Dec-15 00:00:00.0000, -1.416613823757030E+07,  6.382333245722963E+07,  7.086367531247415E+06,
2448241.500000000, A.D. 1990-Dec-16 00:00:00.0000, -1.404940947697990E+07,  6.511446065087400E+07,  7.160032833650000E+06,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000, -1.392791389414342E+07,  6.642912946003306E+07,  7.232965204893440E+06,
2448243.500000000, A.D. 1990-Dec-18 00:00:00.0000, -1.380224522436766E+07,  6.776775762558465E+07,  7.305170338113230E+06,
2448244.500000000, A.D. 1990-Dec-19 00:00:00.0000, -1.367301139639974E+07,  6.913073756971981E+07,  7.376653381130174E+06,
2448245.500000000, A.D. 1990-Dec-20 00:00:00.0000, -1.354083277668400E+07,  7.051843644465306E+07,  7.447419204805374E+06,
2448246.500000000, A.D. 1990-Dec-21 00:00:00.0000, -1.340633943802838E+07,  7.193119320457822E+07,  7.517472219963729E+06,
2448247.500000000, A.D. 1990-Dec-22 00:00:00.0000, -1.327016959911943E+07,  7.336932154968487E+07,  7.586816834418539E+06,
2448248.500000000, A.D. 1990-Dec-23 00:00:00.0000, -1.313296688246836E+07,  7.483310759514596E+07,  7.655457322878204E+06,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000, -1.299537811852029E+07,  7.632281094827600E+07,  7.723398068300392E+06,
2448250.500000000, A.D. 1990-Dec-25 00:00:00.0000, -1.285805087001946E+07,  7.783866571980149E+07,  7.790643793630034E+06,
2448251.500000000, A.D. 1990-Dec-26 00:00:00.0000, -1.272163067293533E+07,  7.938088191471410E+07,  7.857199825869203E+06,
2448252.500000000, A.D. 1990-Dec-27 00:00:00.0000, -1.258675721055038E+07,  8.094964324529195E+07,  7.923071954818875E+06,
2448253.500000000, A.D. 1990-Dec-28 00:00:00.0000, -1.245406229192468E+07,  8.254511506684740E+07,  7.988267278946120E+06,
2448254.500000000, A.D. 1990-Dec-29 00:00:00.0000, -1.232416727361686E+07,  8.416744703203991E+07,  8.052794342648823E+06,
